zip_code,year,month,avg
10006,2011,11,495000
10006,2011,12,966800
10006,2012,1,1083287.33333333
10006,2012,2,853285.7
10006,2012,3,1091975.14285714
10006,2012,4,1025302.375
10006,2012,5,656442.25
10006,2012,6,751883.142857143
10006,2012,7,1128852.8
10006,2012,8,1203884.42857143
10006,2012,9,1094790.33333333
10006,2012,10,847700
10006,2012,12,4482911.2
10006,2013,1,1904127
10006,2013,2,1191352.5
10006,2013,3,1114006.75
10006,2013,4,1207158.57142857
10006,2013,5,1632444.57142857
10006,2013,6,984787.1875
10006,2013,7,1087076
10006,2013,8,1006650
10006,2013,9,1239704.89473684
10006,2013,10,1856368.75
10006,2013,11,873020.166666667
10006,2013,12,1792120
10006,2014,1,1026622.14285714
10006,2014,2,1433726
10006,2014,3,863837.375
10006,2014,4,980401.166666667
10006,2014,5,1068429.4
10006,2014,6,832857.142857143
10006,2014,7,1589743.66666667
10006,2014,8,870410
10006,2014,9,798125
10006,2014,10,5851470.83333333
10007,2003,1,794200
10007,2003,2,337503.333333333
10007,2003,3,280625
10007,2003,4,961318.666666667
10007,2003,5,1285321.16666667
10007,2003,6,548000
10007,2003,7,1014098
10007,2003,8,1676718.33333333
10007,2003,9,1100000
10007,2003,10,510000
10007,2003,11,2261937.5
10007,2003,12,1707612.2
10007,2004,1,1131817.63636364
10007,2004,2,695180.25
10007,2004,3,1186249.16666667
10007,2004,4,866724
10007,2004,5,20871782.75
10007,2004,6,1367263.69230769
10007,2004,7,1390962.11111111
10007,2004,8,961962
10007,2004,9,936007.444444444
10007,2004,10,784581
10007,2004,11,183333.333333333
10007,2004,12,1404076.22222222
10007,2005,1,791832.777777778
10007,2005,2,1798939.21428571
10007,2005,3,1364423.875
10007,2005,4,780491.111111111
10007,2005,5,1557612.71428571
10007,2005,6,1185550.25
10007,2005,7,1219857.14285714
10007,2005,8,650674.529411765
10007,2005,9,1322413.6
10007,2005,10,1694181
10007,2005,11,1260000
10007,2005,12,190000
10007,2006,1,1933750
10007,2006,2,820709
10007,2006,3,3268500
10007,2006,4,968576.4
10007,2006,5,3194798.6
10007,2006,6,594400
10007,2006,7,2769444.33333333
10007,2006,8,1328000
10007,2006,9,1600833.33333333
10007,2006,10,1827550
10007,2006,11,2015254
10007,2006,12,1913851.85714286
10007,2007,1,1346948.54545455
10007,2007,2,1006462.5
10007,2007,3,1160379.25
10007,2007,4,1315199.41666667
10007,2007,5,1703411.71186441
10007,2007,6,2633122.13157895
10007,2007,7,2205369.92307692
10007,2007,8,1799411.89473684
10007,2007,9,2484075.72727273
10007,2007,10,1300959.25
10007,2007,11,2074102.14285714
10007,2007,12,1490623.45454545
10007,2008,1,1341039.08333333
10007,2008,2,2234317.66666667
10007,2008,3,902533.666666667
10007,2008,4,2833567.19047619
10007,2008,5,1482708.42307692
10007,2008,6,1634039.02083333
10007,2008,7,1942313.64705882
10007,2008,8,2237005.88095238
10007,2008,9,2288404.91428571
10007,2008,10,2738700.73076923
10007,2008,11,3326850.85714286
10007,2008,12,3091693.60606061
10007,2009,1,2895954.35714286
10007,2009,2,2684513.66666667
10007,2009,3,1690390.57142857
10007,2009,4,2029534.44444444
10007,2009,5,1317606.14285714
10007,2009,6,1940714.28571429
10007,2009,7,2014615
10007,2009,8,2218454.11111111
10007,2009,9,1164409.4
10007,2009,10,2318152.07142857
10007,2009,11,2156341.66666667
10007,2009,12,1587602.76923077
10007,2010,1,2339908.8
10007,2010,2,1961800.21428571
10007,2010,3,1664394.38095238
10007,2010,4,2009237.5
10007,2010,5,2856285.55555556
10007,2010,6,1636517.86111111
10007,2010,7,1590567.66666667
10007,2010,8,2397718.35714286
10007,2010,9,2206128
10007,2010,10,2041908.46153846
10007,2010,11,764166.666666667
10007,2010,12,1616309.08333333
10007,2011,1,2649673.375
10007,2011,2,571770.428571429
10007,2011,3,1852221.44444444
10007,2011,4,1610360.54545455
10007,2011,5,2053356.11111111
10007,2011,6,1757469.0625
10007,2011,7,1097935
10007,2011,8,1885688.73333333
10007,2011,9,2265543.66666667
10007,2011,10,567250
10007,2011,11,1128000
10007,2011,12,2400833.33333333
10007,2012,1,894413.75
10007,2012,2,2072042.85714286
10007,2012,3,2462366.26315789
10007,2012,4,1669909
10007,2012,5,2124886.07142857
10007,2012,6,2494199.5
10007,2012,7,2528256.84210526
10007,2012,8,1624079.96078431
10007,2012,9,1638681.66666667
10007,2012,10,1172861.18181818
10007,2012,11,1574446.08333333
10007,2012,12,2632857.57692308
10007,2013,1,1392133.61538462
10007,2013,2,1547089.33333333
10007,2013,3,1990900
10007,2013,4,2786413.07692308
10007,2013,5,1680109.72727273
10007,2013,6,1987782.8125
10007,2013,7,2263230.76923077
10007,2013,8,1579369.53846154
10007,2013,9,2259642.85714286
10007,2013,10,1333857.14285714
10007,2013,11,3463831
10007,2013,12,2502169.93103448
10007,2014,1,2439461
10007,2014,2,4408479.625
10007,2014,3,3361892
10007,2014,4,6562571.42857143
10007,2014,5,3876680
10007,2014,6,3220769.61538462
10007,2014,7,3763125
10007,2014,8,2002441
10007,2014,9,2761222.22222222
10007,2014,10,4211600
10007,2014,11,2166856.66666667
10009,2003,1,575575.4
10009,2003,2,618795.833333333
10009,2003,3,320420.142857143
10009,2003,4,415630.583333333
10009,2003,5,288432.333333333
10009,2003,6,173325.285714286
10009,2003,7,725541.666666667
10009,2003,8,761136.25
10009,2003,9,439322.625
10009,2003,10,443286.142857143
10009,2003,11,987062.181818182
10009,2003,12,169312.5
10009,2004,1,501425
10009,2004,2,710000
10009,2004,3,1148828.57142857
10009,2004,4,217556.846153846
10009,2004,5,927192.75
10009,2004,6,1175285.71428571
10009,2004,7,793750
10009,2004,8,1021000
10009,2004,9,505871.222222222
10009,2004,10,501958.75
10009,2004,11,474924.083333333
10009,2004,12,671785.714285714
10009,2005,1,1371428.57142857
10009,2005,2,616111.111111111
10009,2005,3,561250
10009,2005,4,1208777.77777778
10009,2005,5,2155555.77777778
10009,2005,6,842782.84
10009,2005,7,669840.5
10009,2005,8,3167244.64285714
10009,2005,9,648919
10009,2005,10,265875
10009,2005,11,376002
10009,2005,12,793211.111111111
10009,2006,1,2618887.05263158
10009,2006,2,1712183.13333333
10009,2006,3,1323229.3
10009,2006,4,669271.692307692
10009,2006,5,642848.222222222
10009,2006,6,741731.352941177
10009,2006,7,1859285.71428571
10009,2006,8,1288277
10009,2006,9,786727.263157895
10009,2006,10,1065000
10009,2006,11,771007413.428571
10009,2006,12,79500
10009,2007,1,892090.909090909
10009,2007,2,1760409.09090909
10009,2007,3,1248750
10009,2007,4,1271704
10009,2007,5,4552330.72222222
10009,2007,6,512692.461538462
10009,2007,7,2437222.22222222
10009,2007,8,400035.714285714
10009,2007,9,2852571.6
10009,2007,10,1369232.18181818
10009,2007,11,4152083.33333333
10009,2007,12,904375
10009,2008,1,909865.1
10009,2008,2,810323.878787879
10009,2008,3,1384451.62857143
10009,2008,4,852895.058823529
10009,2008,5,1130903.30769231
10009,2008,6,1198183
10009,2008,7,2404326.2
