zip_code,year,avg
10306,2007,307893.173957274
10306,2008,274014.79760479
10306,2009,248267.583743842
10306,2010,256225.46124031
10306,2011,246073.621323529
10306,2012,219133.353805073
10306,2013,302459.096440873
10306,2014,304377.067857143
10307,2003,344165.138271605
10307,2004,352915.413043478
10307,2005,406303.084057971
10307,2006,431667.141342756
10307,2007,395959.362445415
10307,2008,387609.188118812
10307,2009,374551.206349206
10307,2010,332248.124293785
10307,2011,316525.483870968
10307,2012,321779.145945946
10307,2013,350427.77294686
10307,2014,357896.1875
10308,2003,255486.004160888
10308,2004,293158.067823344
10308,2005,328930.096676737
10308,2006,309929.832976445
10308,2007,300825.849236641
10308,2008,256135.37260274
10308,2009,268692.81530343
10308,2010,269932.35883905
10308,2011,233334.68989547
10308,2012,230321.349295775
10308,2013,246462.441860465
10308,2014,282396.284280936
10309,2003,291622.403885481
10309,2004,337612.818292683
10309,2005,389138.672972973
10309,2006,369017.673130194
10309,2007,388476.379905808
10309,2008,343937.2
10309,2009,330271.777522936
10309,2010,334289.470588235
10309,2011,359875.402144772
10309,2012,336548.532956686
10309,2013,355965.577981651
10309,2014,363121.68128655
10310,2003,187852.467874794
10310,2004,232234.795180723
10310,2005,272668.889108911
10310,2006,294948.606060606
10310,2007,252619.861502347
10310,2008,230925.530612245
10310,2009,228714.969798658
10310,2010,226875.424561404
10310,2011,234071.38121547
10310,2012,240830.886639676
10310,2013,218443.345762712
10310,2014,256936.358208955
10312,2003,254521.139534884
10312,2004,293751.380670611
10312,2005,337751.678117999
10312,2006,339041.054054054
10312,2007,325755.784371909
10312,2008,291084.367597765
10312,2009,277784.990632318
10312,2010,274909.018276762
10312,2011,248939.837245696
10312,2012,274058.515006002
10312,2013,290272.521868787
10312,2014,302105.508843537
10314,2003,211288.371601208
10314,2004,267116.262145262
10314,2005,292793.285072952
10314,2006,297513.41713571
10314,2007,276211.219225449
10314,2008,214047.512272367
10314,2009,236498.868540345
10314,2010,232520.04632427
10314,2011,215739.255060729
10314,2012,225594.499545041
10314,2013,246019.038897893
10314,2014,262265.769072165
